Line,Significance,Cultivar-group,Cultivation status,Elite status,IRBB4,IRBB5,IRBB7,IRBB13,IRBB21,IRBB23,IRBB26,IRBB25,IRBB41
IAC3 CX262,,japonica,Cultivar,,?,[-],?,[-],?,[-],?,[-],[-]
IR22 IRIS_313-7688,,Japonica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
Jinbu-2,,Japonica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Lemont CX77,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
Lijian942 IRIS_313-12060,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Litchikiang IRIS_313-10558,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],[-],[-],[-]
LTH CX282,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
TDK1-6,,Japonica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
TN1 CX270,,Japonica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
498-2A-BR-8 IRIS_313-8450,,Indica,Landrace,,[-],?,?,[-],[-],[-],?,[-],[-]
Adday-Sel,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Angifotsy IRIS_313-7638,,Indica,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
ARC12536 IRIS_313-9053,,Indica,Landrace,,[-],[-],?,[-],[-],[-],?,[-],[-]
Baiang6 IRIS_313-8846,,Indica,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
Beizinuo B222,,Indica,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
BUENG_MONG_LENG_WEI IRIS_313-11834,,Indica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
E-Daw-Hawm IRIS_313-8980,,Indica,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Ejali,,Indica,Landrace,,?,[+],?,[-],[-],[-],?,[-],[+]
Honderawala IRIS_313-11382,,Indica,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
NCS-599 IRIS_313-11642,,Indica,Landrace,,[-],[-],?,[-],[-],[-],?,[-],[-]
NX-3533 IRIS_313-9570,,Indica,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
Pokkali 8948 IRIS_313-8244,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
SML-Awini IRIS_313-9841,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Sossoka IRIS_313-11716,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Tetep GB,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Tima IRIS_313-9506,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
TjereSugi IRIS_313-9005,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Vary5000Fotsy IRIS_313-12283,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
36067-1 IRIS_313-11586,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
4583 IRIS_313-11202,,Japonica,Landrace,,?,[-],?,?,[-],?,?,[-],[-]
Azucena-JL,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Bikyat IRIS_313-9897,,Japonica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
