vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_02181,Xo2021-2-135,BXo 2733,BXo 2733,Faridgonj,Meghna,Bangladesh,2020.0,BRRI dhan81,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
VCE_02182,Xo2021-2-135,BXo 2733,BXo 2733,Faridgonj,Meghna,Bangladesh,2020.0,BRRI dhan81,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02183,Xo2021-2-136,BXo 2734,BXo 2734,Faridgonj,Meghna,Bangladesh,2020.0,BRRI dhan28,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
VCE_02184,Xo2021-2-136,BXo 2734,BXo 2734,Faridgonj,Meghna,Bangladesh,2020.0,BRRI dhan28,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02170,Xo2021-2-126,BXo 2724,BXo 2724,Fartikchori,Chittagong,Bangladesh,2019.0,BRRI dhan50,Reproductive stage,0.7,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02783,Xo2021-2-673,Md-5a,5a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02784,Xo2021-2-673,Md-5a,5a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02786,Xo2021-2-675,Md-17a,17a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02787,Xo2021-2-675,Md-17a,17a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02788,Xo2021-2-676,Md-18a,18a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02789,Xo2021-2-676,Md-18a,18a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02790,Xo2021-2-677,Md-20a,20a,Manandona,Vakinankaratra,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02791,Xo2021-2-677,Md-20a,20a,Manandona,Vakinankaratra,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02792,Xo2021-2-678,Md-24a,24a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02793,Xo2021-2-678,Md-24a,24a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02794,Xo2021-2-679,Md-25a,25a,Ambatotsipihina,Vakinankaratra,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02795,Xo2021-2-679,Md-25a,25a,Ambatotsipihina,Vakinankaratra,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02171,Xo2021-2-127,BXo 2725,BXo 2725,Fartikchori,Chittagong,Bangladesh,2019.0,BRRI dhan58,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02172,Xo2021-2-128,BXo 2726,BXo 2726,Fartikchori,Chittagong,Bangladesh,2019.0,BRRI dhan29,Reproductive stage,0.8,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02798,Xo2021-2-680,Md-32a,32a,Morafeno,Sofia,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02799,Xo2021-2-680,Md-32a,32a,Morafeno,Sofia,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02800,Xo2021-2-681,Md-33a,33a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02801,Xo2021-2-681,Md-33a,33a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02802,Xo2021-2-682,Md-35a,35a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02803,Xo2021-2-682,Md-35a,35a,Ivory,Analamanga,Madagascar,2020.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02804,Xo2021-2-683,Md-41a,41a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02805,Xo2021-2-683,Md-41a,41a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02806,Xo2021-2-684,Md-43a,43a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
VCE_02807,Xo2021-2-684,Md-43a,43a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo9,,
VCE_02808,Xo2021-2-685,Md-44a,44a,Ivory,Analamanga,Madagascar,2021.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,,
